name,Black,Hispanic,Asian,Other,White,Native American,Male,Female,type,category
HS Orchestra,15,15,25,5,7,0,18,49,Regular,Arts
French 1,14,19,8,3,17,0,22,39,Regular,Language
French 3 (Honors),5,11,4,2,9,0,5,26,Honors,Language
French 4,18,10,4,1,9,0,13,29,Regular,Language
Environmental Science (AP),8,2,6,0,2,0,16,2,AP,STEM
Spanish 1,36,44,21,5,44,0,66,84,Regular,Language
Calculus BC (AP),3,6,30,0,4,0,14,29,AP,STEM
HS Theatre,11,4,2,0,11,0,13,15,Regular,Arts
Intro to Theatre,2,0,0,1,5,0,2,6,Regular,Arts
Creative Writing,7,5,5,1,11,0,16,13,Regular,Humanities
Advanced Qualitative Reasoning,21,10,8,0,31,0,41,29,Regular,STEM
Biology (Honors),6,8,25,0,12,0,17,34,Honors,STEM
Spanish (AP),2,12,0,0,7,0,6,15,AP,Language
Spanish 3,20,12,14,0,29,0,33,42,Regular,Language
Spanish 3 (Honors),6,10,1,3,11,0,15,16,Honors,Language
Spanish,8,8,4,1,9,0,13,17,Regular,Language
Spanish 2,28,29,32,3,62,0,73,81,Regular,Language
Latin 1 (Honors),4,6,10,2,4,0,5,21,Honors,Language
Physics 1 (AP),11,8,17,2,14,0,33,19,AP,STEM
Physics 2 (AP),6,2,3,0,1,0,10,2,AP,STEM
MS Band,14,19,6,3,29,0,40,31,Regular,Arts
English Lit and Comp (AP),23,14,16,0,29,0,26,56,AP,Humanities
US History (AP),12,12,5,2,21,0,12,40,AP,Humanities
Precalculus (Honors),20,12,38,0,8,0,33,45,Honors,STEM
Chemistry 1 (Honors),3,3,19,0,3,0,9,19,Honors,STEM
Concert Band MS Band 2,8,19,4,1,15,0,27,20,Regular,Arts
HS Symphonic Band,5,6,9,2,9,0,17,14,Regular,Arts
Calculus,35,25,29,0,27,1,50,67,Regular,STEM
Latin 3 (Honors),10,8,4,1,9,0,16,16,Honors,Language
Government (AP),30,19,15,1,32,0,37,60,AP,Humanities
Bio Med,20,21,29,1,21,0,30,62,Regular,STEM
Latin 2 (Honors),10,10,22,0,10,0,16,36,Honors,Language
Myth Tradition,4,7,10,0,3,0,13,11,Regular,Humanities
Chemistry (AP),2,2,10,0,3,0,9,8,AP,STEM
Comparative Government (AP),18,13,8,1,18,1,24,35,AP,Humanities
Chemistry (Honors),9,4,10,1,4,1,7,22,Honors,STEM
Chinese 1,21,51,35,2,25,0,63,71,Regular,Language
Chinese 2,4,8,16,2,4,0,20,14,Regular,Language
Chinese 3,3,2,38,0,0,0,22,21,Regular,Language
Chinese 4,8,6,28,0,0,0,12,30,Regular,Language
International Relations,19,17,4,0,18,1,25,34,Regular,Humanities
Japanese 3,3,7,25,3,9,0,30,17,Regular,Language
Japanese 4,4,11,16,2,14,0,22,25,Regular,Language
Japanese 4 (Honors),5,3,9,0,2,0,7,12,Honors,Language
Latin (AP),5,4,10,1,4,1,5,20,AP,Language
Geometry (Honors),12,28,46,0,24,0,42,68,Honors,STEM
Greek 1,9,5,7,0,5,0,10,16,Regular,Language
Latin Poetry (Honors),11,10,0,0,12,0,15,18,Honors,Language
Sociology,15,12,9,0,15,1,9,43,Regular,Humanities
Calculus AB (AP),7,5,10,0,3,0,7,18,AP,STEM
Computer Science Principle (AP),10,3,10,1,5,0,18,11,AP,STEM
Computer Science Principles (AP),8,2,9,0,4,1,13,11,AP,STEM
European History (AP),27,29,32,2,33,2,49,76,AP,Humanities
Language and Comp (AP),15,13,20,1,5,1,10,45,AP,Humanities
Arabic 1,7,8,1,2,9,0,11,16,Regular,Language
Arabic 2,14,9,2,1,13,0,24,15,Regular,Language
Arabic 3,5,10,6,1,5,0,13,14,Regular,Language
Arabic 4 (Honors),6,4,2,0,4,0,6,10,Honors,Language
French 2,8,15,15,2,10,0,15,35,Regular,Language
French 2 (Honors),4,9,8,0,10,0,4,27,Honors,Language
French 3,12,14,4,1,17,0,18,30,Regular,Language
Interactive Media,21,20,23,0,24,0,51,37,Regular,Arts
Research and Activism for Change,21,8,7,0,11,0,15,32,Regular,Humanities
Spanish 4,16,23,16,4,31,3,45,48,Regular,Language
Studio Art 1,15,18,12,2,16,0,16,47,Regular,Arts
Anatomy and Physiology,16,7,19,0,16,1,14,45,Regular,STEM
Biology (AP),7,9,20,0,14,0,10,40,AP,STEM
Economics (AP),14,9,17,2,22,0,24,40,AP,Humanities
Economics,28,28,12,1,25,0,60,34,Regular,Humanities
Japanese 1,7,14,25,3,14,0,27,36,Regular,Language